timestamp,junction_id,vehicle_count,avg_speed,weather,signal_timing_sec,accident_flag,congestion_level
2024-01-01 00:00:00,J1,107.0,36.8,Rain,60.0,0,Moderate
2024-01-01 00:15:00,J1,275.0,36.8,Clear,60.0,0,Severe
2024-01-01 00:30:00,J1,111.0,38.3,Rain,60.0,0,Moderate
2024-01-01 01:00:00,J1,76.0,47.4,Fog,60.0,0,Moderate
2024-01-01 01:15:00,J1,25.0,40.8,Rain,90.0,0,Low
2024-01-01 01:30:00,J1,107.0,54.0,Cloudy,90.0,0,Moderate
2024-01-01 01:45:00,J1,126.0,54.0,Cloudy,60.0,0,Moderate
2024-01-01 02:00:00,J1,219.0,42.5,Cloudy,60.0,0,High
2024-01-01 02:15:00,J1,92.0,22.7,Cloudy,90.0,0,Moderate
2024-01-01 02:30:00,J1,104.0,27.7,Cloudy,90.0,0,Moderate
2024-01-01 02:45:00,J1,156.0,27.7,Clear,90.0,0,High
2024-01-01 03:00:00,J1,135.0,19.5,Storm,90.0,0,Moderate
2024-01-01 03:15:00,J1,154.0,41.4,Clear,90.0,0,High
2024-01-01 03:30:00,J1,262.0,52.0,Clear,90.0,0,Severe
2024-01-01 03:45:00,J1,298.0,41.8,Cloudy,30.0,0,Severe
2024-01-01 04:00:00,J1,196.0,32.8,Storm,60.0,0,High
2024-01-01 04:15:00,J1,281.0,29.8,Storm,90.0,0,Severe
2024-01-01 04:45:00,J1,26.0,29.8,Fog,60.0,1,Low
2024-01-01 05:00:00,J1,257.0,36.6,Cloudy,30.0,0,Severe
2024-01-01 05:15:00,J1,240.0,36.6,Storm,90.0,0,High
2024-01-01 05:30:00,J1,53.0,50.2,Cloudy,45.0,0,Moderate
2024-01-01 05:45:00,J1,63.0,61.5,Rain,30.0,0,Moderate
2024-01-01 06:00:00,J1,174.0,46.8,Rain,45.0,0,High
2024-01-01 06:15:00,J1,192.0,38.0,Fog,60.0,0,High
2024-01-01 06:30:00,J1,275.0,38.3,Fog,60.0,0,Severe
2024-01-01 06:45:00,J1,275.0,16.8,Cloudy,30.0,0,Severe
2024-01-01 07:00:00,J1,179.0,41.8,Cloudy,30.0,0,High
2024-01-01 07:15:00,J1,55.0,39.8,Rain,30.0,0,Moderate
2024-01-01 07:30:00,J1,59.0,24.0,Storm,90.0,0,Moderate
2024-01-01 07:45:00,J1,248.0,39.7,Rain,45.0,1,High
2024-01-01 08:00:00,J1,135.0,56.1,Storm,30.0,0,Moderate
2024-01-01 08:15:00,J1,139.0,31.2,Storm,45.0,0,Moderate
2024-01-01 08:30:00,J1,25.0,28.5,Cloudy,30.0,0,Low
2024-01-01 08:45:00,J1,171.0,53.3,Clear,45.0,0,High
2024-01-01 09:00:00,J1,171.0,47.6,Clear,30.0,0,High
2024-01-01 09:15:00,J1,93.0,76.7,Fog,30.0,0,Moderate
2024-01-01 09:30:00,J1,18.0,24.2,Cloudy,30.0,0,Low
2024-01-01 09:45:00,J1,246.0,48.6,Storm,90.0,0,High
2024-01-01 10:00:00,J1,269.0,43.8,Clear,45.0,0,Severe
2024-01-01 10:15:00,J1,57.0,40.7,Storm,45.0,0,Moderate
2024-01-01 10:30:00,J1,96.0,50.9,Clear,45.0,0,Moderate
2024-01-01 10:45:00,J1,268.0,50.9,Clear,30.0,0,Severe
2024-01-01 11:00:00,J1,39.0,16.8,Clear,45.0,0,Low
2024-01-01 11:15:00,J1,39.0,29.8,Cloudy,45.0,0,Low
2024-01-01 11:30:00,J1,85.0,56.4,Rain,30.0,0,Moderate
2024-01-01 11:45:00,J1,54.0,54.1,Storm,30.0,0,Moderate
2024-01-01 12:00:00,J1,6.0,35.5,Cloudy,30.0,0,Low
2024-01-01 12:15:00,J1,58.0,46.0,Cloudy,45.0,0,Moderate
2024-01-01 12:30:00,J1,110.0,73.4,Cloudy,30.0,0,Moderate
2024-01-01 12:45:00,J1,264.0,39.6,Cloudy,60.0,0,Severe
2024-01-01 13:00:00,J1,195.0,39.6,Cloudy,30.0,0,High
2024-01-01 13:15:00,J1,222.0,42.3,Fog,30.0,0,High
2024-01-01 13:30:00,J1,48.0,47.3,Cloudy,60.0,0,Low
2024-01-01 13:45:00,J1,166.0,35.8,Cloudy,90.0,0,High
2024-01-01 14:00:00,J1,206.0,47.3,Storm,45.0,0,High
